reference,prediction_before,prediction_after,cer_before,cer_after
s ^ { i j } = - \frac 1 { 8 \mu } \left[ { \cal E } _ { k } { } ^ { j } \left( k ^ { k i } - \partial ^ { i } h ^ { k 0 } \right) + \left( i \leftrightarrow j \right) \right] .,$$s ^ { i j } = - \frac { 1 } { 8 \mu } \left[ \mathcal { E } _ { k } ^ { \ j } \left( k ^ { k i } - \partial ^ { i } h ^ { k 0 } \right) + ( i \leftrightarrow j ) \right] .$$,s ^ { i j } = - \frac { 1 } { 8 \mu } \left[ \mathcal { E } _ { k } ^ { j } \left( k ^ { k i } - \partial ^ { i } h ^ { k 0 } \right) + ( i \leftrightarrow j ) \right] .,0.17613636363636365,0.14772727272727273
\Omega ( m ) = m \int _ { - \infty } ^ { \infty } d x \exp ( - m x ) \hat { \Omega } ( x ) .,$$\Omega ( m ) = m \int _ { - \infty } ^ { \infty } d x \exp ( - m x ) \hat { \Omega } ( x ) .$$,\Omega ( m ) = m \int _ { - \infty } ^ { \infty } d x \exp ( - m x ) \dot { \hat { \Omega } } ( x ) .,0.043478260869565216,0.09782608695652174
J _ { t o t } = \eta _ { 0 } / \lambda \epsilon \ddot { \overline { { \rho } } } + \epsilon M,$$J _ { t o t } = \eta _ { 0 } / \lambda \epsilon \ddot { \rho } + \epsilon M$$,J _ { t o t } = \eta _ { 0 } / \lambda \epsilon \ddot { \rho } + \epsilon \bar { M },0.23655913978494625,0.2903225806451613
\Delta E _ { \mathrm { b a r e } } [ \chi ] = \pm \left( \frac { 1 } { 2 } \sum _ { j } | \omega _ { j } | + \frac { 1 } { 2 } \int _ { 0 } ^ { \infty } \omega ( k ) \left( \rho ( k ) - \rho ^ { 0 } ( k ) \right) d k \right),"$$\Delta E _ { \mathrm { b a r e } } [ \chi ] = \pm \left( { \frac { 1 } { 2 } } \sum _ { j } | \omega _ { j } | + { \frac { 1 } { 2 } } \int _ { 0 } ^ { \infty } \omega ( k ) \left( \rho ( k ) - \rho ^ { 0 } ( k ) \right) \, d k \right)$$","\Delta E _ { \mathrm { b a r e } } [ \chi ] = \pm \left( { \frac { 1 } { 2 } } \sum _ { j } | \omega _ { j } | + { \frac { 1 } { 2 } } \int _ { 0 } ^ { \infty } \omega ( k ) \left( \rho ( k ) - \rho ^ { 0 } ( k ) \right) \, d k \right)",0.06696428571428571,0.049107142857142856
"\mu _ { k } \propto \left( \frac { \eta } { \eta _ { \mathrm { c } } } \right) ^ { \alpha { _ { \pm } } } , \quad \alpha _ { \pm } = \frac { 1 } { 2 } \pm \sqrt { \frac { 1 } { 4 } + \beta ( 1 + \beta ) ( 1 - 6 \xi ) } .","$$\mu _ { k } \propto \left( \frac { \eta } { \eta _ { c } } \right) ^ { \alpha _ { \pm } } , \quad \alpha _ { \pm } = \frac { 1 } { 2 } \pm \sqrt { \frac { 1 } { 4 } + \beta ( 1 + \beta ) ( 1 - 6 \xi ) } .$$","\mu _ { k } \propto \left( \frac { \eta } { \eta _ { c } } \right) ^ { \alpha _ { \pm } } , \quad \alpha _ { \pm } = \frac { 1 } { 2 } \pm \sqrt { \frac { 1 } { 4 } + \beta ( 1 + \beta ) ( 1 - 6 \xi ) } .",0.09090909090909091,0.07272727272727272
\Bigl ( { \rho ^ { k } } _ { i } \Bigr ) ^ { + } h _ { \bar { k } j } - h _ { \bar { i } \ell } \Bigl ( { \rho ^ { \ell } } _ { i } \Bigr ) = 0 .,$$\left( \rho ^ { k } { } _ { i } \right) ^ { + } h _ { \bar { k } j } - h _ { \bar { z } \ell } \left( \rho ^ { \ell } { } _ { i } \right) = 0 .$$,\left( \rho ^ { k } { } _ { i } \right) ^ { + } h _ { \overline { { k } } j } - h _ { \overline { { i } } \ell } \left( \rho ^ { \ell } { } _ { i } \right) = 0 .,0.19310344827586207,0.31724137931034485
D _ { \mu } \rightarrow U D _ { \mu } U ^ { - 1 } { . },$$D _ { \mu } \rightarrow U D _ { \mu } U ^ { - 1 } .$$,D _ { \mu } \rightarrow U D _ { \mu } U ^ { - 1 } .,0.10909090909090909,0.07272727272727272
"H \ = \ G ^ { 2 } \cdot E _ { 2 } \ + \ E _ { 4 } \ = \ \int d r d z \ r \cdot { \cal E } ( r , z )","$$H = G ^ { 2 } \cdot E _ { 2 } + E _ { 4 } = \int d r d z \, r \cdot \mathcal { E } ( r , z )$$","H \ = G ^ { 2 } \cdot E _ { 2 } \ + \ E _ { 4 } \ = \ \int d r d z \ r \cdot { \cal E } ( r , z )",0.23232323232323232,0.020202020202020204
\delta _ { \epsilon } b = - \bar { \epsilon } \Gamma _ { 1 1 } \Gamma _ { m } d \theta \left( d X ^ { m } + { \frac { 1 } { 2 } } \bar { \theta } \Gamma ^ { m } d \theta \right) + { \frac { 1 } { 2 } } \bar { \theta } \Gamma _ { 1 1 } \Gamma _ { m } d \theta \bar { \epsilon } \Gamma ^ { m } d \theta .,$$\delta _ { c } b = - \bar { \epsilon } \Gamma _ { 1 1 } \Gamma _ { m } d \theta \left( d X ^ { m } + \frac { 1 } { 2 } \bar { \theta } \Gamma ^ { m } d \theta \right) + \frac { 1 } { 2 } \bar { \theta } \Gamma _ { 1 1 } \Gamma _ { m } d \theta \bar { \epsilon } \Gamma ^ { m } d \theta .$$,\delta _ { c } b = - \bar { \epsilon } \Gamma _ { 1 1 } \Gamma _ { m } d \theta \left( d X ^ { m } + \frac { 1 } { 2 } \bar { \theta } \Gamma ^ { m } d \theta \right) + \frac { 1 } { 2 } \bar { \theta } \Gamma _ { 1 1 } \Gamma _ { m } d \theta \bar { \epsilon } \Gamma ^ { m } d \theta .,0.06622516556291391,0.052980132450331126
\chi _ { a } = X _ { a } + i \left( \overline { { \xi } } _ { a } ^ { \overline { { \beta } } } \overline { { k } } _ { \overline { { \beta } } } - \xi _ { a } ^ { \beta } k _ { \beta } \right),$$\chi _ { a } = X _ { a } + i \left( \overline { { { \xi } } } _ { a } ^ { \overline { { { \beta } } } } k _ { \overline { { { \beta } } } } - \xi _ { a } ^ { \beta } k _ { \beta } \right)$$,\chi _ { a } = X _ { a } + i \left( \overline { { \xi _ { a } } } k _ { \overline { { \beta } } } ^ { - } - \xi _ { a } ^ { \beta } k _ { \beta } \right),0.16062176165803108,0.2694300518134715
{ \rho ( x ) } \rightarrow { \rho ( x ) } - \frac { 2 } { 2 } { L } n .,$$\rho ( x ) \to \rho ( x ) - { \frac { 2 } { 2 } } L n .$$,\rho ( x ) \rightarrow \rho ( x ) - \frac { 2 } { 2 } L n .,0.29577464788732394,0.16901408450704225
H ^ { i m } H ^ { j n } \eta ^ { A m n } = { M } ^ { A B } \eta ^ { B i j } .,$$H ^ { i m } H ^ { j n } \eta ^ { A m n } = M ^ { A B } \eta ^ { B i j } .$$,H ^ { i m } H ^ { j n } \eta ^ { A m n } = M ^ { A B } \eta ^ { B i j } .,0.1038961038961039,0.05194805194805195
\pi ( d \alpha ) = \left( \begin{matrix} { - g ^ { \mu \nu } \partial _ { \mu } a _ { i 1 } \partial _ { \nu } b _ { i 1 } } & { - 2 \gamma ^ { \mu \nu } \gamma ^ { 5 } V _ { \nu } a _ { i 1 } \partial _ { \mu } b _ { i 2 } } \\ { 2 \gamma ^ { \mu \nu } \gamma ^ { 5 } V _ { \nu } a _ { i 2 } \partial _ { \mu } b _ { i 1 } } & { - g ^ { \mu \nu } \partial _ { \mu } a _ { i 2 } \partial _ { \nu } b _ { i 2 } } \\ \end{matrix} \right),$$\pi ( d \alpha ) = \left( - g ^ { \mu \nu } \partial _ { \mu } a _ { i 1 } \partial _ { \nu } b _ { i 1 } - 2 \gamma ^ { \mu \nu } \gamma ^ { 5 } V _ { \nu } a _ { i 1 } \partial _ { \mu } b _ { i 2 } 2 \gamma ^ { \mu \nu } \gamma ^ { 5 } V _ { \nu } a _ { i 2 } \partial,\pi ( d \alpha ) = \left( - g ^ { \mu \nu } \partial _ { \mu } a _ { i 1 } \partial _ { \nu } b _ { i 1 } - 2 \gamma ^ { \mu \nu } \gamma ^ { 5 } V _ { \nu } a _ { i 1 } \partial _ { \mu } b _ { i 2 } 2 \gamma ^ { \mu \nu } \gamma ^ { 5 } V _ { \nu } a _ { i 2 } \partial _,0.3816091954022989,0.3724137931034483
